repositorio,status_final,tempo_analise_horas,tamanho_arquivos,tamanho_linhas_adicionadas,tamanho_linhas_removidas,descricao_caracteres,interacoes_participantes,interacoes_comentarios,numero_revisoes
freeCodeCamp/freeCodeCamp,MERGED,11.84,1,8,8,286,3,1,8
freeCodeCamp/freeCodeCamp,MERGED,2.39,1,52,4,286,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,3.06,1,31,7,286,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,3.32,1,13,1,286,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,3.35,1,9,1,286,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,3.38,1,14,2,286,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,3.4,1,9,1,286,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,3.42,1,5,1,286,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,2.13,1,9,1,286,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,2.21,1,17,1,286,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,4.95,1,19,3,286,3,0,3
freeCodeCamp/freeCodeCamp,MERGED,2.4,1,9,1,286,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,2.44,1,11,3,286,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,2.46,1,33,8,286,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,3.71,1,10,4,296,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,6.86,1,101,1,286,3,0,3
freeCodeCamp/freeCodeCamp,MERGED,7.9,1,8,2,286,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,2.39,1,1,1,286,3,1,2
freeCodeCamp/freeCodeCamp,MERGED,12.21,1,16,40,286,3,0,3
freeCodeCamp/freeCodeCamp,MERGED,1.92,1,29,4,286,3,0,3
freeCodeCamp/freeCodeCamp,MERGED,1.17,1,31,2,286,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,2.36,1,42,13,296,4,1,2
freeCodeCamp/freeCodeCamp,MERGED,2.38,1,8,4,286,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,2.4,1,34,10,286,3,0,3
freeCodeCamp/freeCodeCamp,MERGED,9.0,2,25,5,395,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,3.9,1,76,11,286,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,9.95,1,1,1,393,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,3.06,1,26,15,286,3,1,1
freeCodeCamp/freeCodeCamp,MERGED,1.75,1,1,1,326,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,3.43,1,51,7,286,3,0,1
freeCodeCamp/freeCodeCamp,MERGED,4.07,1,47,11,286,3,0,1
freeCodeCamp/freeCodeCamp,MERGED,2.0,2,8,6,578,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,25.75,5,336,286,415,3,0,2
freeCodeCamp/freeCodeCamp,CLOSED,32.41,582,28551,5028,1186,29,7,1
freeCodeCamp/freeCodeCamp,MERGED,10.78,5,5,5,488,3,0,3
freeCodeCamp/freeCodeCamp,MERGED,11.53,12,28,26,286,3,0,4
freeCodeCamp/freeCodeCamp,CLOSED,19.33,5,70,62,270,4,3,4
freeCodeCamp/freeCodeCamp,MERGED,19.69,30,520,18,501,3,1,2
freeCodeCamp/freeCodeCamp,MERGED,11.63,5,18,18,286,4,0,2
freeCodeCamp/freeCodeCamp,MERGED,35.45,1,3,42,505,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,4.32,20,300,20,45,3,0,2
freeCodeCamp/freeCodeCamp,CLOSED,3.47,3,5,5,424,2,0,1
freeCodeCamp/freeCodeCamp,MERGED,34.14,1,46,46,499,3,1,3
freeCodeCamp/freeCodeCamp,MERGED,11.81,1,88,59,461,3,0,3
freeCodeCamp/freeCodeCamp,MERGED,1.08,1,1,1,691,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,1.61,1,1,1,429,4,1,2
freeCodeCamp/freeCodeCamp,MERGED,1.79,9,20,288,396,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,73.97,2,8,8,463,3,2,2
freeCodeCamp/freeCodeCamp,MERGED,43.74,35,37,37,468,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,7.62,2,2,2,286,3,0,2
codecrafters-io/build-your-own-x,CLOSED,24.76,1,0,5,138,3,3,1
codecrafters-io/build-your-own-x,CLOSED,93.49,2,117,0,0,4,4,1
codecrafters-io/build-your-own-x,CLOSED,2032.0,1,1,0,316,1,3,1
codecrafters-io/build-your-own-x,CLOSED,917.35,1,18,1,332,3,4,2
codecrafters-io/build-your-own-x,MERGED,1.2,1,1,0,293,2,1,1
codecrafters-io/build-your-own-x,CLOSED,19.53,2,1,0,97,2,1,1
codecrafters-io/build-your-own-x,CLOSED,1.71,1,1,0,193,1,1,1
codecrafters-io/build-your-own-x,CLOSED,673.22,1,1,1,180,3,2,1
codecrafters-io/build-your-own-x,CLOSED,1174.8,1,1,1,34,3,0,2
codecrafters-io/build-your-own-x,CLOSED,1829.3,1,1,0,140,2,1,1
codecrafters-io/build-your-own-x,MERGED,168.81,1,1,1,12,6,2,3
codecrafters-io/build-your-own-x,CLOSED,54.93,1,2,0,91,2,0,2
codecrafters-io/build-your-own-x,CLOSED,17.91,1,1,0,0,3,0,1
codecrafters-io/build-your-own-x,CLOSED,11269.16,1,3,3,31,2,1,1
codecrafters-io/build-your-own-x,CLOSED,125.56,1,1,0,13,2,0,1
codecrafters-io/build-your-own-x,MERGED,637.14,1,1,1,142,3,0,1
codecrafters-io/build-your-own-x,MERGED,15.38,1,1,0,109,2,0,3
codecrafters-io/build-your-own-x,MERGED,7.71,1,1,0,91,3,1,2
codecrafters-io/build-your-own-x,CLOSED,4901.0,1,1,1,0,3,1,1
codecrafters-io/build-your-own-x,MERGED,39.49,1,1,0,48,2,1,2
codecrafters-io/build-your-own-x,MERGED,88.36,1,1,0,11,4,1,1
codecrafters-io/build-your-own-x,CLOSED,4347.47,1,1,0,136,4,0,3
codecrafters-io/build-your-own-x,CLOSED,15553.37,1,1,0,70,2,0,1
codecrafters-io/build-your-own-x,CLOSED,2048.3,1,1,0,82,2,0,1
codecrafters-io/build-your-own-x,MERGED,98.29,1,1,1,139,3,1,1
codecrafters-io/build-your-own-x,MERGED,1137.44,1,1,0,57,3,1,1
codecrafters-io/build-your-own-x,CLOSED,9169.06,1,1,0,83,5,1,4
codecrafters-io/build-your-own-x,MERGED,68.12,1,1,1,109,3,1,1
codecrafters-io/build-your-own-x,CLOSED,32381.13,1,131,23,206,2,0,1
codecrafters-io/build-your-own-x,CLOSED,5825.62,1,1,0,68,3,1,1
codecrafters-io/build-your-own-x,MERGED,592.45,1,0,1,0,3,0,1
codecrafters-io/build-your-own-x,CLOSED,1777.51,1,1,0,60,2,0,1
codecrafters-io/build-your-own-x,MERGED,19325.11,1,1,0,188,3,0,2
codecrafters-io/build-your-own-x,MERGED,20204.14,1,1,0,573,3,0,1
codecrafters-io/build-your-own-x,CLOSED,10194.91,1,1,0,11,2,0,1
codecrafters-io/build-your-own-x,CLOSED,581.49,1,3,3,150,3,0,1
codecrafters-io/build-your-own-x,CLOSED,25866.73,1,1,0,173,2,0,1
codecrafters-io/build-your-own-x,CLOSED,31100.29,1,2,2,0,2,0,1
codecrafters-io/build-your-own-x,CLOSED,30451.13,1,1,0,0,2,1,1
codecrafters-io/build-your-own-x,CLOSED,26724.46,1,1,0,0,2,0,1
codecrafters-io/build-your-own-x,CLOSED,9364.32,1,1,0,0,3,1,1
codecrafters-io/build-your-own-x,CLOSED,53080.57,0,0,0,206,2,0,1
codecrafters-io/build-your-own-x,CLOSED,46325.88,1,1,0,68,2,1,1
codecrafters-io/build-your-own-x,CLOSED,4655.91,1,1,0,0,3,1,1
codecrafters-io/build-your-own-x,CLOSED,121.39,1,2,0,244,3,1,1
codecrafters-io/build-your-own-x,MERGED,3.53,1,9,1,104,3,1,1
codecrafters-io/build-your-own-x,MERGED,1.41,1,2,1,19,2,1,2
codecrafters-io/build-your-own-x,MERGED,22.97,1,1,0,74,2,1,3
codecrafters-io/build-your-own-x,MERGED,16.12,1,1,0,0,2,1,1
codecrafters-io/build-your-own-x,CLOSED,26.54,1,1,0,0,2,1,1
sindresorhus/awesome,CLOSED,3.55,23,107,2323,7473,3,1,2
sindresorhus/awesome,CLOSED,473.41,1,1,0,7253,3,4,1
sindresorhus/awesome,CLOSED,137.04,1,1,0,7147,3,1,1
sindresorhus/awesome,CLOSED,4.43,1,1,1,7223,3,1,1
sindresorhus/awesome,CLOSED,13.97,1,1,0,7147,3,1,1
sindresorhus/awesome,MERGED,3.92,1,1,1,168,4,0,2
sindresorhus/awesome,MERGED,462.55,1,1,0,7154,5,4,3
sindresorhus/awesome,CLOSED,59.24,1,1,0,7328,5,3,2
sindresorhus/awesome,MERGED,2053.28,1,1,0,7261,12,15,6
sindresorhus/awesome,CLOSED,1274.61,1,1,0,7217,5,6,2
sindresorhus/awesome,MERGED,2350.64,1,1,0,7292,10,6,8
sindresorhus/awesome,CLOSED,2518.63,1,1,0,6812,5,5,2
sindresorhus/awesome,CLOSED,1.13,1,1,1,7417,3,1,2
sindresorhus/awesome,MERGED,1106.47,1,1,0,7634,6,13,7
sindresorhus/awesome,MERGED,3160.8,1,1,0,6578,4,6,3
sindresorhus/awesome,CLOSED,3199.4,1,1,0,7223,10,6,9
sindresorhus/awesome,CLOSED,224.42,1,1,0,7291,7,4,5
sindresorhus/awesome,CLOSED,630.79,1,3,0,7372,8,13,3
sindresorhus/awesome,CLOSED,3814.12,1,1,1,7339,8,9,2
sindresorhus/awesome,CLOSED,7.83,1,0,0,7147,3,0,1
sindresorhus/awesome,MERGED,2100.39,1,1,0,7283,11,7,8
sindresorhus/awesome,CLOSED,4226.69,1,1,0,7564,6,5,6
sindresorhus/awesome,CLOSED,1505.87,1,1,0,6462,6,10,10
sindresorhus/awesome,CLOSED,4464.69,1,2,1,6858,5,8,5
sindresorhus/awesome,CLOSED,1720.57,1,1,0,7445,10,7,5
sindresorhus/awesome,CLOSED,16.69,1,1,0,7177,3,4,1
sindresorhus/awesome,MERGED,5371.11,1,1,0,7401,5,8,2
sindresorhus/awesome,CLOSED,5375.71,1,1,0,7399,5,14,4
sindresorhus/awesome,MERGED,1294.45,1,1,0,7453,4,13,2
sindresorhus/awesome,MERGED,1297.73,1,1,1,7353,7,15,10
sindresorhus/awesome,CLOSED,5512.26,1,1,0,7154,10,7,5
sindresorhus/awesome,CLOSED,5596.04,1,1,0,7237,7,6,2
sindresorhus/awesome,MERGED,5678.19,1,1,0,7315,9,11,5
sindresorhus/awesome,MERGED,5803.58,1,1,0,6661,5,12,3
sindresorhus/awesome,MERGED,6159.78,1,1,0,7365,10,16,7
sindresorhus/awesome,CLOSED,1598.82,1,1,1,7380,5,5,1
sindresorhus/awesome,MERGED,6542.35,1,1,0,7413,11,20,4
sindresorhus/awesome,MERGED,2522.76,1,1,0,7205,5,15,7
sindresorhus/awesome,MERGED,9.78,1,1,1,7302,3,0,1
sindresorhus/awesome,CLOSED,6773.48,1,1,0,7424,11,18,7
sindresorhus/awesome,MERGED,7158.09,1,1,0,7492,6,10,3
sindresorhus/awesome,MERGED,7225.59,1,1,0,7319,5,12,3
sindresorhus/awesome,CLOSED,4510.49,1,1,0,7592,8,15,4
sindresorhus/awesome,CLOSED,1079.15,1,1,1,7424,172,9,4
sindresorhus/awesome,CLOSED,2859.1,1,1,0,7148,5,3,1
sindresorhus/awesome,MERGED,3032.62,1,1,0,6648,7,6,5
sindresorhus/awesome,MERGED,941.83,1,1,0,7683,5,7,6
sindresorhus/awesome,MERGED,3365.9,1,1,0,6917,5,6,2
sindresorhus/awesome,CLOSED,3402.57,1,1,0,443,7,6,2
sindresorhus/awesome,MERGED,295.92,1,1,0,6572,6,11,2
EbookFoundation/free-programming-books,CLOSED,1.95,2,15,0,1290,2,3,1
EbookFoundation/free-programming-books,MERGED,17.19,1,24,17,935,3,0,1
EbookFoundation/free-programming-books,MERGED,29.13,1,6,0,899,2,0,1
EbookFoundation/free-programming-books,MERGED,29.31,1,1,0,970,2,0,1
EbookFoundation/free-programming-books,CLOSED,33.68,1,6,4,1211,2,2,3
EbookFoundation/free-programming-books,CLOSED,11.69,1,65,0,244,3,4,1
EbookFoundation/free-programming-books,CLOSED,28.35,1,15,0,193,3,7,1
EbookFoundation/free-programming-books,MERGED,52.78,1,2,1,1337,3,1,2
EbookFoundation/free-programming-books,MERGED,7.0,1,1,0,1246,3,0,1
EbookFoundation/free-programming-books,MERGED,5.82,1,3,0,1529,3,5,1
EbookFoundation/free-programming-books,MERGED,8.03,1,4,0,1503,3,0,1
EbookFoundation/free-programming-books,MERGED,9.16,1,3,3,1233,3,0,1
EbookFoundation/free-programming-books,CLOSED,11.47,1,1,0,1104,3,1,1
EbookFoundation/free-programming-books,MERGED,36.06,1,32,27,938,2,2,2
EbookFoundation/free-programming-books,MERGED,17.03,1,1,1,1039,3,1,1
EbookFoundation/free-programming-books,CLOSED,20.66,1,1,0,1107,3,2,1
EbookFoundation/free-programming-books,MERGED,27.88,1,1,0,1515,2,5,3
EbookFoundation/free-programming-books,MERGED,8.09,1,3,2,1360,2,0,1
EbookFoundation/free-programming-books,MERGED,55.71,1,12,0,1787,3,2,1
EbookFoundation/free-programming-books,MERGED,58.58,1,1,0,1505,2,2,5
EbookFoundation/free-programming-books,CLOSED,21.69,1,3,1,898,3,1,3
EbookFoundation/free-programming-books,MERGED,84.56,1,6,0,929,3,4,1
EbookFoundation/free-programming-books,MERGED,7.97,1,3,3,1549,2,1,1
EbookFoundation/free-programming-books,MERGED,9.9,1,14,14,954,2,1,1
EbookFoundation/free-programming-books,CLOSED,55.89,1,18,15,1448,2,14,1
EbookFoundation/free-programming-books,MERGED,26.29,1,1,0,1244,2,3,1
EbookFoundation/free-programming-books,MERGED,38.73,2,2,0,1474,2,2,4
EbookFoundation/free-programming-books,MERGED,83.7,1,4,2,1466,2,4,2
EbookFoundation/free-programming-books,MERGED,108.97,1,4,1,1838,3,8,2
EbookFoundation/free-programming-books,MERGED,84.79,1,7,0,1631,2,4,3
EbookFoundation/free-programming-books,MERGED,63.66,1,3,0,1378,2,2,1
EbookFoundation/free-programming-books,MERGED,111.29,1,3,1,1638,2,6,5
EbookFoundation/free-programming-books,CLOSED,64.57,1,39,0,1030,2,9,1
EbookFoundation/free-programming-books,MERGED,113.22,1,3,0,1562,3,3,3
EbookFoundation/free-programming-books,MERGED,31.94,1,1,0,0,2,0,2
EbookFoundation/free-programming-books,MERGED,90.61,1,3,0,1815,2,12,4
EbookFoundation/free-programming-books,MERGED,51.38,2,5,5,1616,2,0,5
EbookFoundation/free-programming-books,CLOSED,11.93,1,2,1,845,2,2,1
EbookFoundation/free-programming-books,MERGED,16.93,1,1,0,977,2,2,3
EbookFoundation/free-programming-books,MERGED,39.71,1,7,0,2715,2,5,2
EbookFoundation/free-programming-books,MERGED,41.01,1,6,0,1673,3,0,3
EbookFoundation/free-programming-books,MERGED,17.88,1,1,0,1643,3,0,1
EbookFoundation/free-programming-books,MERGED,18.14,1,1,0,859,3,2,1
EbookFoundation/free-programming-books,CLOSED,16.66,3,91,0,874,2,1,1
EbookFoundation/free-programming-books,MERGED,26.9,1,9,9,1062,2,0,2
EbookFoundation/free-programming-books,MERGED,97.94,1,8,0,815,2,4,5
EbookFoundation/free-programming-books,CLOSED,12.49,1,1,0,1097,2,0,1
EbookFoundation/free-programming-books,CLOSED,42.37,0,0,0,311,2,0,4
EbookFoundation/free-programming-books,MERGED,27.65,1,1,0,974,2,0,1
EbookFoundation/free-programming-books,CLOSED,75.77,2,11,0,1787,2,6,9
public-apis/public-apis,CLOSED,467.45,1,1,0,514,2,0,1
public-apis/public-apis,CLOSED,38.73,1,1,0,514,2,0,1
public-apis/public-apis,CLOSED,1208.59,1,1,1,514,2,0,1
public-apis/public-apis,CLOSED,287.0,1,2,1,514,2,0,1
public-apis/public-apis,CLOSED,1060.67,1,2,2,301,2,0,1
public-apis/public-apis,CLOSED,791.9,1,1,1,633,2,0,1
public-apis/public-apis,CLOSED,4996.0,1,0,1,26,2,0,1
public-apis/public-apis,CLOSED,1463.14,1,1,0,514,2,0,1
public-apis/public-apis,CLOSED,1746.85,1,0,1,514,5,2,2
public-apis/public-apis,CLOSED,1317.33,1,57,52,514,2,0,1
public-apis/public-apis,CLOSED,5545.27,1,0,1,27,1,0,1
public-apis/public-apis,CLOSED,2763.22,1,1,1,37,2,1,1
public-apis/public-apis,CLOSED,17.65,1,1,0,514,3,0,2
public-apis/public-apis,CLOSED,230.23,1,1,0,514,2,0,1
public-apis/public-apis,CLOSED,5983.86,1,1,1,49,2,0,1
public-apis/public-apis,CLOSED,1398.68,1,1,1,514,2,1,1
public-apis/public-apis,CLOSED,1182.07,1,1,1,623,2,2,1
public-apis/public-apis,CLOSED,3050.14,1,1,1,514,2,0,1
public-apis/public-apis,CLOSED,9922.59,1,0,1,125,2,1,1
public-apis/public-apis,CLOSED,10079.85,1,1,0,514,2,1,1
public-apis/public-apis,MERGED,1097.95,2,347,248,514,6,0,4
public-apis/public-apis,CLOSED,3383.25,1,1,1,514,3,1,1
public-apis/public-apis,CLOSED,34.45,1,1,0,514,2,0,1
public-apis/public-apis,CLOSED,38.91,1,1,0,514,3,0,1
public-apis/public-apis,CLOSED,9479.88,1,1,1,514,3,1,2
public-apis/public-apis,CLOSED,7172.58,1,3,0,514,3,2,1
public-apis/public-apis,CLOSED,133.1,1,1,0,514,2,1,1
public-apis/public-apis,CLOSED,22974.49,1,0,1,59,2,0,1
public-apis/public-apis,CLOSED,1012.19,1,1,1,79,2,0,1
public-apis/public-apis,CLOSED,199.76,1,1,1,514,2,0,1
public-apis/public-apis,CLOSED,20783.6,1,1,0,514,3,1,1
public-apis/public-apis,CLOSED,23674.0,1,1,0,561,3,2,1
public-apis/public-apis,CLOSED,10007.43,1,2,0,514,6,6,2
public-apis/public-apis,CLOSED,128.64,1,1,0,514,3,1,1
public-apis/public-apis,CLOSED,183.12,1,1,0,514,4,1,2
public-apis/public-apis,CLOSED,358.79,1,1,0,514,3,1,1
public-apis/public-apis,CLOSED,654.48,1,3,2,514,3,2,1
public-apis/public-apis,CLOSED,370.15,1,1,0,514,3,10,1
public-apis/public-apis,CLOSED,39.59,1,1,0,514,2,1,1
public-apis/public-apis,CLOSED,41.76,1,2,0,514,3,1,1
public-apis/public-apis,MERGED,4.0,1,1,0,514,2,0,1
public-apis/public-apis,MERGED,21.66,1,1,0,514,2,0,1
public-apis/public-apis,MERGED,40.85,1,1,0,514,2,0,1
public-apis/public-apis,MERGED,30.02,1,1,0,514,2,0,1
public-apis/public-apis,MERGED,12.51,1,1,1,574,2,0,1
public-apis/public-apis,MERGED,72.34,1,1,0,521,3,1,1
public-apis/public-apis,MERGED,109.31,1,1,0,514,2,0,1
public-apis/public-apis,MERGED,111.9,1,1,0,514,2,2,1
public-apis/public-apis,MERGED,137.67,1,1,0,551,2,0,1
public-apis/public-apis,MERGED,95.12,1,1,0,514,2,0,1
kamranahmedse/developer-roadmap,MERGED,30.27,1,2,2,0,2,0,1
kamranahmedse/developer-roadmap,CLOSED,22.39,1,3,1,83,2,0,1
kamranahmedse/developer-roadmap,MERGED,4.91,1,4,3,0,2,0,2
kamranahmedse/developer-roadmap,MERGED,25.33,78,687,80,282,1,0,1
kamranahmedse/developer-roadmap,CLOSED,118.71,1,13,11,71,3,1,3
kamranahmedse/developer-roadmap,CLOSED,272.36,2,19,5,94,3,4,1
kamranahmedse/developer-roadmap,MERGED,124.53,35,682,706,0,3,0,1
kamranahmedse/developer-roadmap,MERGED,188.77,148,1165,147,292,2,0,1
kamranahmedse/developer-roadmap,MERGED,72.92,1,2,1,88,3,0,1
kamranahmedse/developer-roadmap,MERGED,10.25,1,7,8,0,3,0,1
kamranahmedse/developer-roadmap,MERGED,11.16,7,365,97,0,2,0,1
kamranahmedse/developer-roadmap,MERGED,6.49,6,466,2,0,2,0,2
kamranahmedse/developer-roadmap,CLOSED,578.17,1,1,0,31,3,1,3
kamranahmedse/developer-roadmap,MERGED,25.63,16,2965,415,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,10.66,1,1,2,178,2,0,1
kamranahmedse/developer-roadmap,MERGED,40.01,6,8,29,315,3,0,1
kamranahmedse/developer-roadmap,MERGED,35.91,1,1,1,36,2,0,1
kamranahmedse/developer-roadmap,MERGED,55.54,1,1,0,33,2,0,3
kamranahmedse/developer-roadmap,MERGED,55.17,1,2,2,0,2,0,1
kamranahmedse/developer-roadmap,MERGED,131.01,3,21,3,260,2,0,1
kamranahmedse/developer-roadmap,MERGED,3.24,2,4,4,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,4.54,2,1,1,55,2,0,1
kamranahmedse/developer-roadmap,MERGED,291.35,1,0,1,248,2,0,1
kamranahmedse/developer-roadmap,MERGED,311.37,1,13,1,32,3,0,3
kamranahmedse/developer-roadmap,MERGED,393.36,6,877,9,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,21.28,1,1,0,30,2,0,1
kamranahmedse/developer-roadmap,MERGED,28.6,1,1,1,0,2,0,1
kamranahmedse/developer-roadmap,MERGED,132.99,2,5,26,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,14.08,1,1003,0,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,7.91,1,1643,212,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,153.3,1,1,1,36,2,0,1
kamranahmedse/developer-roadmap,MERGED,14.22,1,24,3,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,141.58,59,388,399,73,2,2,5
kamranahmedse/developer-roadmap,MERGED,9.59,11,3577,251,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,109.71,1,0,1,173,2,0,1
kamranahmedse/developer-roadmap,MERGED,37.59,1,1,1,61,2,0,1
kamranahmedse/developer-roadmap,MERGED,36.36,3,2813,9,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,214.74,1,3,3,113,2,0,1
kamranahmedse/developer-roadmap,MERGED,44.39,1,936,0,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,28.54,2,5,32,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,372.96,1,10,1,41,2,0,1
kamranahmedse/developer-roadmap,MERGED,419.06,1,5,1,16,2,0,1
kamranahmedse/developer-roadmap,MERGED,434.91,2,5,5,160,3,0,3
kamranahmedse/developer-roadmap,MERGED,62.43,16,550,384,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,9.77,1,1225,0,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,30.59,2,1214,1,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,3.38,1,1,1,142,2,0,1
kamranahmedse/developer-roadmap,MERGED,10.57,2,1019,46,315,2,0,1
kamranahmedse/developer-roadmap,MERGED,1.5,1,117,117,315,2,0,1
kamranahmedse/developer-roadmap,CLOSED,162.63,1,7,1,166,2,1,1
jwasham/coding-interview-university,CLOSED,4.17,1,0,3,12,2,2,2
jwasham/coding-interview-university,MERGED,20.44,1,0,1,0,3,1,1
jwasham/coding-interview-university,CLOSED,11.0,1,1247,1128,161,3,1,1
jwasham/coding-interview-university,MERGED,32.03,27,27,27,77,3,0,1
jwasham/coding-interview-university,MERGED,7.79,1,1,0,249,3,1,1
jwasham/coding-interview-university,CLOSED,7.83,1,10,10,0,3,1,1
jwasham/coding-interview-university,MERGED,35.43,1,2,1,67,2,1,2
jwasham/coding-interview-university,MERGED,15.27,1,1,0,135,2,2,1
jwasham/coding-interview-university,MERGED,531.39,0,0,0,53,2,3,1
jwasham/coding-interview-university,CLOSED,4.43,1,7,4,0,3,2,1
jwasham/coding-interview-university,MERGED,113.11,25,47,25,0,3,3,2
jwasham/coding-interview-university,MERGED,19.58,1,1776,1550,290,2,3,1
jwasham/coding-interview-university,MERGED,13.15,1,5,5,0,2,1,3
jwasham/coding-interview-university,MERGED,14.12,1,20,22,0,2,1,5
jwasham/coding-interview-university,CLOSED,295.59,1,3,1,0,2,0,1
jwasham/coding-interview-university,MERGED,191.09,2,1408,0,36,2,12,2
jwasham/coding-interview-university,MERGED,1272.92,1,39,39,76,3,2,1
jwasham/coding-interview-university,MERGED,27.59,1,1,1,169,2,2,2
jwasham/coding-interview-university,MERGED,102.43,2,1,1,54,4,7,2
jwasham/coding-interview-university,MERGED,132.13,1,26,26,72,2,1,1
jwasham/coding-interview-university,MERGED,54.13,1,316,352,154,2,3,2
jwasham/coding-interview-university,MERGED,47.01,1,2,2,0,2,3,1
jwasham/coding-interview-university,CLOSED,12.73,1,4,4,0,3,1,1
jwasham/coding-interview-university,MERGED,381.57,1,1988,0,76,3,6,7
jwasham/coding-interview-university,MERGED,39.26,2,79,86,189,2,3,2
jwasham/coding-interview-university,CLOSED,6070.7,1,27,23,147,2,1,1
jwasham/coding-interview-university,MERGED,18.02,1,2,0,0,3,1,1
jwasham/coding-interview-university,MERGED,108.5,1,5,0,173,2,3,1
jwasham/coding-interview-university,CLOSED,5.6,1,1,1,8,2,2,1
jwasham/coding-interview-university,CLOSED,15.94,1,4,0,133,2,1,1
jwasham/coding-interview-university,CLOSED,14.02,1,3,1,63,3,2,1
jwasham/coding-interview-university,CLOSED,81.3,1,8,0,170,2,1,1
jwasham/coding-interview-university,MERGED,92.33,1,2,1,72,2,1,1
jwasham/coding-interview-university,CLOSED,4.44,1,7,7,0,4,1,1
jwasham/coding-interview-university,CLOSED,1.72,1,1,1,0,3,1,1
jwasham/coding-interview-university,MERGED,49.23,1,1992,0,24,3,1,1
jwasham/coding-interview-university,MERGED,232.31,1,5,0,77,3,2,2
jwasham/coding-interview-university,MERGED,39.55,16,0,15,207,3,1,1
jwasham/coding-interview-university,CLOSED,14.37,1,1,0,165,3,1,1
jwasham/coding-interview-university,MERGED,31.66,1,114,114,85,3,4,1
jwasham/coding-interview-university,MERGED,58.37,1,3,0,53,4,2,3
jwasham/coding-interview-university,CLOSED,34.92,1,1,1,0,4,3,1
jwasham/coding-interview-university,MERGED,152.08,1,1,1,24,5,2,2
jwasham/coding-interview-university,CLOSED,2979.08,1,3,0,109,5,1,3
jwasham/coding-interview-university,MERGED,3568.12,1,1,1,0,3,0,1
jwasham/coding-interview-university,MERGED,8417.98,1,1978,0,27,4,3,3
jwasham/coding-interview-university,MERGED,3.62,2,1201,1208,319,2,2,2
jwasham/coding-interview-university,MERGED,971.59,1,0,0,118,3,1,1
jwasham/coding-interview-university,CLOSED,39955.85,1,259,255,0,7,6,7
jwasham/coding-interview-university,MERGED,69.83,1,0,6,18,2,2,3
donnemartin/system-design-primer,CLOSED,1323.15,1,1,1,291,3,1,1
donnemartin/system-design-primer,MERGED,3403.79,4,27,27,506,2,1,1
donnemartin/system-design-primer,MERGED,128.12,1,2,2,199,2,0,1
donnemartin/system-design-primer,CLOSED,713.81,1,1838,0,769,7,6,3
donnemartin/system-design-primer,MERGED,1549.19,4,8,8,0,3,0,2
donnemartin/system-design-primer,CLOSED,2984.85,2,10,0,291,2,0,1
donnemartin/system-design-primer,CLOSED,3264.37,1,1,1,126,3,0,2
donnemartin/system-design-primer,CLOSED,15428.31,1,22,23,327,3,0,1
donnemartin/system-design-primer,MERGED,179.93,1,5,5,353,2,1,1
donnemartin/system-design-primer,CLOSED,18343.91,1,2,2,291,3,0,1
donnemartin/system-design-primer,MERGED,512.62,1,1,1,291,3,1,2
donnemartin/system-design-primer,MERGED,171.03,1,1,1,291,2,1,1
donnemartin/system-design-primer,CLOSED,15251.51,1,2,0,291,2,0,1
donnemartin/system-design-primer,CLOSED,15370.61,1,1,1,291,3,1,1
donnemartin/system-design-primer,CLOSED,8997.19,1,1,0,164,3,0,1
